,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Martians Make Bad Allies,Mars,COTA,R,Action,3,1,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Mass Abduction,Mars,COTA,R,Action,2,,,1,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Mating Season,Mars,COTA,R,Action,3,1,,,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Shatter Storm,Mars,COTA,R,Action,4,,1,,,,,1,,,,1,,0,-2,-2,-2,,8,4,10,3.3,12,3,14,2.8
Total Recall,Mars,COTA,R,Action,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Commpod,Mars,COTA,R,Artifact,4,1,,,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Custom Virus,Mars,COTA,R,Artifact,2,1,,1,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Feeding Pit,Mars,COTA,R,Artifact,3,1,,,1,,,,,,,0.75,,0,-3,-3,-3,,6,3,6,2.0,6,1.5,6,1.2
Invasion Portal,Mars,COTA,R,Artifact,2,,,,1,,,,,,,0.5,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Incubation Chamber,Mars,COTA,R,Artifact,5,,,,1,,,,,,,1.25,,0,-4,-4,-4,,10,5,11,3.7,12,3,13,2.6
Sniffer,Mars,COTA,R,Artifact,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Swap Widget,Mars,COTA,R,Artifact,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Chuff Ape,Mars,COTA,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Grommid,Mars,COTA,R,Creature,0,,,,,,,,,,,0,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
Phylyx the Disintegrator,Mars,COTA,R,Creature,3,,1,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Qyxxlyx Plague Master,Mars,COTA,R,Creature,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Brain Stem Antenna,Mars,COTA,R,Upgrade,6,1,,,,,,,,,,1.5,,0,-2,-2,-2,,12,6,16,5.3,20,5,24,4.8
,Sanctum,COTA,,,,23,9,10,1,1,17,1,1,1,0,75.75,,,,,,,,,,,,,,
Blinding Light,Sanctum,COTA,C,Action,3,1,,,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Cleansing Wave,Sanctum,COTA,C,Action,3,1,,,,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Inspiration,Sanctum,COTA,C,Action,3,1,,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Shield of Justice,Sanctum,COTA,C,Action,2,1,,,,,,,,,,2,,0,0,-1,-2,,4,2,6,2.0,7,1.75,7,1.4
Take Hostages,Sanctum,COTA,C,Action,2,1,1,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Terms of Redress,Sanctum,COTA,C,Action,3,1,1,,,,,,,,,3,,0,0,-1,-2,,6,3,9,3.0,11,2.75,12,2.4
Hallowed Blaster,Sanctum,COTA,C,Artifact,0,,,,,,,,,,,0,,-1,-2,-3,-4,,-1,-0.5,-3,-1.0,-6,-1.5,-10,-2
Bulwark,Sanctum,COTA,C,Creature,3,,,,,,1,,,,,3,,1,0,-1,-2,,7,3.5,10,3.3,12,3,13,2.6
Champion Anaphiel,Sanctum,COTA,C,Creature,3,,,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Commander Remiel,Sanctum,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Protectrix,Sanctum,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Raiding Knight,Sanctum,COTA,C,Creature,2,,1,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sequis,Sanctum,COTA,C,Creature,3,,1,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Sergeant Zakiel,Sanctum,COTA,C,Creature,3,,,1,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Staunch Knight,Sanctum,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Protect the Weak,Sanctum,COTA,C,Upgrade,3,1,,,,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Doorstep to Heaven,Sanctum,COTA,U,Action,5,1,1,,,,,1,,,,2.5,,0,-2,-4,-4,,10,5,13,4.3,14,3.5,15,3
Glorious Few,Sanctum,COTA,U,Action,3,1,,,,,,,,,,1.5,,0,-2,-3,-3,,6,3,7,2.3,7,1.75,7,1.4
Radiant Truth,Sanctum,COTA,U,Action,3,1,,,,,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
The Harder They Come,Sanctum,COTA,U,Action,2,,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
The Spirit’s Way,Sanctum,COTA,U,Action,4,,,1,,,,,1,,,2,,-1,-3,-4,-4,,7,3.5,8,2.7,8,2,8,1.6
Virtuous Works,Sanctum,COTA,U,Action,3,1,,,,,,,,,,1.5,,1,2,2,2,,7,3.5,12,4.0,17,4.25,22,4.4
Gorm of Omm,Sanctum,COTA,U,Artifact,3,,,,,,,,,1,,1.5,,0,-1,-3,-3,,6,3,8,2.7,8,2,8,1.6
Potion of Invulnerability,Sanctum,COTA,U,Artifact,3,1,,,,,,,,,,1.5,,0,-2,-2,-2,,6,3,7,2.3,8,2,9,1.8
Sigil of Brotherhood,Sanctum,COTA,U,Artifact,3,1,,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Whispering Reliquary,Sanctum,COTA,U,Artifact,2,,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Champion Tabris,Sanctum,COTA,U,Creature,3,,1,,,,1,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Francus,Sanctum,COTA,U,Creature,2,,1,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Grey Monk,Sanctum,COTA,U,Creature,3,,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lady Maxena,Sanctum,COTA,U,Creature,3,,,,,,1,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Gatekeeper,Sanctum,COTA,U,Creature,3,,1,,,,1,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Shoulder Armor,Sanctum,COTA,U,Upgrade,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Horsemanx4,Sanctum,COTA,R,Creature,2,,,1,,,1,,,,,0.5,,2,2,2,2,,6,3,10,3.3,14,3.5,18,3.6
Begone!,Sanctum,COTA,R,Action,1,1,,1,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Charge!,Sanctum,COTA,R,Action,2,1,,1,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Clear Mind,Sanctum,COTA,R,Action,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Honorable Claim,Sanctum,COTA,R,Action,2,1,1,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Mighty Lance,Sanctum,COTA,R,Action,3,,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Oath of Poverty,Sanctum,COTA,R,Action,4,1,,,,,,,,,,1,,-3,-4,-4,-4,,5,2.5,5,1.7,5,1.25,5,1
One Stood Against Many,Sanctum,COTA,R,Action,4,1,,1,,,,,,,,1,,0,-2,-2,-2,,8,4,10,3.3,12,3,14,2.8
Epic Quest,Sanctum,COTA,R,Artifact,1,,,,,,,,,,,0.25,,1,2,2,2,,3,1.5,6,2.0,9,2.25,12,2.4
Round Table,Sanctum,COTA,R,Artifact,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Duma the Martyr,Sanctum,COTA,R,Creature,3,,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Hayyel the Merchant,Sanctum,COTA,R,Creature,2,,,,,,,,,,,0.5,,-2,-3,-3,-3,,2,1,1,0.3,0,0,-1,-0.2
Jehu the Bureaucrat,Sanctum,COTA,R,Creature,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Lord Golgotha,Sanctum,COTA,R,Creature,4,,,1,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Numquid the Fair,Sanctum,COTA,R,Creature,6,,,1,,,,,,,,1.5,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Sanctum Guardian,Sanctum,COTA,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Vaultkeeper,Sanctum,COTA,R,Creature,3,,,,,1,1,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Veemos Lightbringer,Sanctum,COTA,R,Creature,2,,,,,,1,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Armageddon Cloak,Sanctum,COTA,R,Upgrade,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Mantle of the Zealot,Sanctum,COTA,R,Upgrade,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
,Shadows,COTA,,,,31,17,13,2,1,3,1,0,0,0,81,,,,,,,,,,,,,,
Bait and Switch,Shadows,COTA,C,Action,2,1,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Ghostly Hand,Shadows,COTA,C,Action,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Miasma,Shadows,COTA,C,Action,3,1,1,,,,,,,,,3,,1,0,-1,-2,,7,3.5,10,3.3,12,3,13,2.6
Nerve Blast,Shadows,COTA,C,Action,4,1,1,1,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Pawn Sacrifice,Shadows,COTA,C,Action,3,1,,1,,,,,,,,3,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Poison Wave,Shadows,COTA,C,Action,3,1,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Relentless Whispers,Shadows,COTA,C,Action,5,1,1,1,,,,,,,,5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Seeker Needle,Shadows,COTA,C,Artifact,2,1,,1,,,,,,,,2,,1,0,-1,-2,,5,2.5,7,2.3,8,2,8,1.6
Bad Penny,Shadows,COTA,C,Creature,1,,,,,,,,,,,1,,-2,-3,-4,-5,,0,0,-2,-0.7,-5,-1.25,-9,-1.8
Nexus,Shadows,COTA,C,Creature,2,,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Noddy the Thief,Shadows,COTA,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dodger,Shadows,COTA,C,Creature,3,,1,,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Shadow Self,Shadows,COTA,C,Creature,4,,,,,,1,,,,,4,,0,-1,-2,-3,,8,4,11,3.7,13,3.25,14,2.8
Silvertooth,Shadows,COTA,C,Creature,3,1,,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Umbra,Shadows,COTA,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Urchin,Shadows,COTA,C,Creature,4,1,1,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Booby Trap,Shadows,COTA,U,Action,3,1,,1,,,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Hidden Stash,Shadows,COTA,U,Action,4,1,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Lights Out,Shadows,COTA,U,Action,4,1,,,,1,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Oubliette,Shadows,COTA,U,Action,3,,,1,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Too Much to Protect,Shadows,COTA,U,Action,6,1,1,,,,,1,,,,3,,0,-2,-4,-4,,12,6,16,5.3,18,4.5,20,4
Skeleton Key,Shadows,COTA,U,Artifact,2,,1,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Special Delivery,Shadows,COTA,U,Artifact,3,1,,1,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Speed Sigil,Shadows,COTA,U,Artifact,1,1,,,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Subtle Maul,Shadows,COTA,U,Artifact,2,,,,,,,,,,,1,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Carlo Phantom,Shadows,COTA,U,Creature,2,,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Macis Asp,Shadows,COTA,U,Creature,2,,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Magda the Rat,Shadows,COTA,U,Creature,3,,1,,,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Mooncurser,Shadows,COTA,U,Creature,2,,,,,,,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Old Bruno,Shadows,COTA,U,Creature,3,,1,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Duskrunner,Shadows,COTA,U,Upgrade,3,1,1,,,,,,,,,1.5,,-1,-2,-3,-3,,5,2.5,6,2.0,6,1.5,6,1.2
Silent Dagger,Shadows,COTA,U,Upgrade,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Finishing Blow,Shadows,COTA,R,Action,4,1,1,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Imperial Traitor,Shadows,COTA,R,Action,2,1,,,,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Key of Darkness,Shadows,COTA,R,Action,0,,,,,,,,,,,0,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
One Last Job,Shadows,COTA,R,Action,3,1,1,,,,,,,,,0.75,,-1,-3,-3,-3,,5,2.5,5,1.7,5,1.25,5,1
Routine Job,Shadows,COTA,R,Action,5,1,1,,,,,,,,,1.25,,0,1,2,3,,10,5,16,5.3,23,5.75,31,6.2
Treasure Map,Shadows,COTA,R,Action,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Customs Office,Shadows,COTA,R,Artifact,2,,,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evasion Sigil,Shadows,COTA,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Longfused Mines,Shadows,COTA,R,Artifact,4,1,,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Masterplan,Shadows,COTA,R,Artifact,5,1,,,1,,,,,,,1.25,,1,2,2,2,,11,5.5,18,6.0,25,6.25,32,6.4
Safe Place,Shadows,COTA,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
The Sting,Shadows,COTA,R,Artifact,1,1,,,,,,,,,,0.25,,0,-3,-3,-3,,2,1,0,0.0,-2,-0.5,-4,-0.8
Bulleteye,Shadows,COTA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Deipno Spymaster,Shadows,COTA,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Faygin,Shadows,COTA,R,Creature,3,1,1,,,,,,,,,0.75,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Mack the Knife,Shadows,COTA,R,Creature,5,1,,1,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Selwyn the Fence,Shadows,COTA,R,Creature,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Smiling Ruth,Shadows,COTA,R,Creature,1,,,,,,,,,,,0.25,,-2,-2,-2,-2,,0,0,-1,-0.3,-2,-0.5,-3,-0.6
Sneklifter,Shadows,COTA,R,Creature,5,,,,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Ring of Invisibility,Shadows,COTA,R,Upgrade,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
,Untamed,COTA,,,,25,2,12,5,3,11,0,0,0,2,77.25,,,,,,,,,,,,,,
Cooperative Hunting,Untamed,COTA,C,Action,2,,,1,,,,,,,,2,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Full Moon,Untamed,COTA,C,Action,2,1,,,,,,,,,,2,,0,-2,-3,-4,,4,2,4,1.3,3,0.75,1,0.2
Key Charge,Untamed,COTA,C,Action,5,,,,,,,,,,1,5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Lost in the Woods,Untamed,COTA,C,Action,4,1,,1,,,,,,,,4,,0,-1,-2,-3,,8,4,11,3.7,13,3.25,14,2.8
Nocturnal Maneuver,Untamed,COTA,C,Action,2,1,,,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Regrowth,Untamed,COTA,C,Action,3,1,,,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Save the Pack,Untamed,COTA,C,Action,1,,,1,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Vigor,Untamed,COTA,C,Action,2,1,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Ancient Bear,Untamed,COTA,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dew Faerie,Untamed,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dust Pixie,Untamed,COTA,C,Creature,4,1,,,,,,,,,,4,,1,1,2,2,,9,4.5,14,4.7,20,5,26,5.2
Snufflegator,Untamed,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Murmook,Untamed,COTA,C,Creature,3,,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Niffle Ape,Untamed,COTA,C,Creature,1,,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Hunting Witch,Untamed,COTA,C,Creature,4,1,,,,,,,,,,4,,1,2,3,4,,9,4.5,15,5.0,22,5.5,30,6
Witch of the Eye,Untamed,COTA,C,Creature,4,,,,1,,,,,,,4,,1,1,0,0,,9,4.5,14,4.7,18,4.5,22,4.4
Fogbank,Untamed,COTA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Grasping Vines,Untamed,COTA,U,Action,3,1,,,,1,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Lifeweb,Untamed,COTA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Mimicry,Untamed,COTA,U,Action,6,,,,,,,,,,,3,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Nature’s Call,Untamed,COTA,U,Action,6,1,,,,1,,,,,,3,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Troop Call,Untamed,COTA,U,Action,0,,,,,,,,,,,0,,-2,-3,-4,-4,,-2,-1,-5,-1.7,-9,-2.25,-13,-2.6
Nepenthe Seed,Untamed,COTA,U,Artifact,4,,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Ritual of Balance,Untamed,COTA,U,Artifact,3,1,1,,,,,,,,,1.5,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Bigtwig,Untamed,COTA,U,Creature,3,,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Chota Hazri,Untamed,COTA,U,Creature,6,,,,,,,,,,1,3,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Flaxia,Untamed,COTA,U,Creature,3,1,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Halacor,Untamed,COTA,U,Creature,2,,,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Mushroom Man,Untamed,COTA,U,Creature,2,,,,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Niffle Queen,Untamed,COTA,U,Creature,0,,,,,,,,,,,0,,-2,-3,-4,-4,,-2,-1,-5,-1.7,-9,-2.25,-13,-2.6
Way of the Bear,Untamed,COTA,U,Upgrade,1,1,,1,,,,,,,,0.5,,0,0,-1,-1,,2,1,3,1.0,3,0.75,3,0.6
Way of the Wolf,Untamed,COTA,U,Upgrade,1,1,,1,,,,,,,,0.5,,0,-1,-2,-2,,2,1,2,0.7,1,0.25,0,0
Curiosity,Untamed,COTA,R,Action,2,1,,1,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Fertility Chant,Untamed,COTA,R,Action,3,1,,,,,,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Perilous Wild,Untamed,COTA,R,Action,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Scout,Untamed,COTA,R,Action,3,1,,1,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Stampede,Untamed,COTA,R,Action,2,1,,,,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
The Common Cold,Untamed,COTA,R,Action,2,1,,,,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Word of Returning,Untamed,COTA,R,Action,3,1,,,,,,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Bear Flute,Untamed,COTA,R,Artifact,2,,,,1,,,,,,,0.5,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Ritual of the Hunt,Untamed,COTA,R,Artifact,3,1,,,,,,,,,,0.75,,0,-2,-2,-2,,6,3,7,2.3,8,2,9,1.8
World Tree,Untamed,COTA,R,Artifact,2,,,,1,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Witch of the Wilds,Untamed,COTA,R,Creature,5,,,,1,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Briar Grubbling,Untamed,COTA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Fuzzy Gruen,Untamed,COTA,R,Creature,3,1,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Giant Sloth,Untamed,COTA,R,Creature,1,,,,,,1,,,,,0.25,,-2,-3,-3,-3,,0,0,-2,-0.7,-4,-1,-6,-1.2
Inka the Spider,Untamed,COTA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Kindrith Longshot,Untamed,COTA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Lupo the Scarred,Untamed,COTA,R,Creature,3,,,1,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Mighty Tiger,Untamed,COTA,R,Creature,3,,,1,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Piranha Monkeys,Untamed,COTA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Teliga,Untamed,COTA,R,Creature,5,1,,,,1,,,,,,1.25,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
,Brobnar,AoA,,,,12,6,20,1,1,19,1,2,0,1,76.25,,,,,,,,,,,,,,
1-2 Punch,Brobnar,AOA,C,Action,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Bingle Bangbang,Brobnar,AOA,C,Creature,2,,,1,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Brammo,Brobnar,AOA,C,Creature,3,,,1,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Coward’s End,Brobnar,AOA,C,Action,3,,,1,,,,,1,,,3,,-1,-3,-5,-7,,5,2.5,5,1.7,3,0.75,-1,-0.2
Cowfyne,Brobnar,AOA,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Drummernaut,Brobnar,AOA,C,Creature,6,,,,,,1,,,,,6,,0,-2,-4,-6,,12,6,16,5.3,18,4.5,18,3.6
First Blood,Brobnar,AOA,C,Action,2,1,,1,,,,,,,,2,,-2,-3,-4,-5,,2,1,1,0.3,-1,-0.25,-4,-0.8
Foozle,Brobnar,AOA,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ganger Chieftain,Brobnar,AOA,C,Creature,4,,,1,,,1,,,,,4,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Gauntlet of Command,Brobnar,AOA,C,Artifact,3,,,1,,,,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Groggins,Brobnar,AOA,C,Creature,2,,,,,,1,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Groke,Brobnar,AOA,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Into the Fray,Brobnar,AOA,C,Action,0,,,,,,,,,,,0,,-2,-3,-4,-5,,-2,-1,-5,-1.7,-9,-2.25,-14,-2.8
Lollop the Titanic,Brobnar,AOA,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Pound,Brobnar,AOA,C,Action,3,,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Tremor,Brobnar,AOA,C,Action,2,,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
